Treatment,Temperature,ReplicateID,SampleDay,dCH4ConcDiff,CH4Prod,CH4ProdOutlier,OM,CN
Benthic Only,20,r1,2,5652.2916,1.64588116,N,50.1,NA
Benthic Only,20,r2,2,5642.4138,2.17324074,Y,NA,NA
Benthic Only,20,r3,2,1313.85036,0.24958111,N,44.6,NA
Benthic Only,20,r4,2,5837.72364,1.24657632,N,NA,40.5
Benthic Only,20,r5,2,373.29708,0.07807086,Y,NA,32.7
Sediment + Benthic,20,r1,2,4035.88248,0.46104069,N,NA,70.1
Sediment + Benthic,20,r2,2,-312.63516,-0.0292018,Y,13.1,NA
Sediment + Benthic,20,r3,2,19701.2094,2.38296251,N,11.8,NA
Sediment + Benthic,20,r4,2,3429.93648,0.40846615,N,NA,69.9
Sediment + Benthic,20,r5,2,-6500.2537,-0.7704986,Y,NA,NA
Sediment Only,20,r1,2,3129.19692,0.29718666,N,NA,103
Sediment Only,20,r2,2,3791.72472,0.34019672,Y,NA,NA
Sediment Only,20,r3,2,799.2528,0.07880835,N,4.44,NA
Sediment Only,20,r4,2,-731.81184,-0.0658829,Y,NA,93.3
Sediment Only,20,r5,2,1560.69408,0.14137484,N,4.36,NA
Benthic Only,30,r1,2,3318.5934,0.73199101,N,NA,38.7
Benthic Only,30,r2,2,12491.9034,2.58230779,N,59.7,NA
Benthic Only,30,r3,2,10362.1393,1.96042788,N,48.9,NA
Benthic Only,30,r4,2,-7716.6809,-1.86775,Y,NA,45.2
Benthic Only,30,r5,2,10328.1136,4.61537063,Y,NA,NA
Sediment + Benthic,30,r1,2,17535.8054,1.70598971,N,NA,74.2
Sediment + Benthic,30,r2,2,5970.80736,0.65271936,N,NA,NA
Sediment + Benthic,30,r3,2,19145.34,1.95913877,Y,11.7,NA
Sediment + Benthic,30,r4,2,-18676.583,-2.1687186,Y,NA,68.9
Sediment + Benthic,30,r5,2,10828.5965,1.22065462,N,11.6,NA
Sediment Only,30,r1,2,6154.56396,0.62266809,N,NA,111.5
Sediment Only,30,r2,2,7494.10788,0.69530536,N,4.3,NA
Sediment Only,30,r3,2,4888.19664,0.48374762,N,NA,NA
Sediment Only,30,r4,2,14668.4881,1.29611547,Y,NA,97.6
Sediment Only,30,r5,2,4994.58756,0.42188087,Y,4.12,NA
Benthic Only,20,r1,3,-3320.0316,-0.78084,Y,50.1,NA
Benthic Only,20,r2,3,5316.49032,1.59266143,N,NA,NA
Benthic Only,20,r3,3,942.54552,0.18333527,N,44.6,NA
Benthic Only,20,r4,3,-4580.838,-0.7608093,Y,NA,40.5
Benthic Only,20,r5,3,38379.3875,9.01579723,N,NA,32.7
Sediment + Benthic,20,r1,3,4897.69596,0.47341487,N,NA,70.1
Sediment + Benthic,20,r2,3,2082.80928,0.15131345,N,13.1,NA
Sediment + Benthic,20,r3,3,-9640.6009,-0.9501394,Y,11.8,NA
Sediment + Benthic,20,r4,3,132.56796,0.01589822,N,NA,69.9
Sediment + Benthic,20,r5,3,-4412.0443,-0.4224033,Y,NA,NA
Sediment Only,20,r1,3,4142.16924,0.33044832,N,NA,103
Sediment Only,20,r2,3,2376.99336,0.17377216,Y,NA,NA
Sediment Only,20,r3,3,12550.3552,0.95192057,Y,4.44,NA
Sediment Only,20,r4,3,9436.05888,0.68613582,N,NA,93.3
Sediment Only,20,r5,3,5182.69656,0.36514525,N,4.36,NA
Benthic Only,30,r1,3,22945.1783,4.2513066,N,NA,38.7
Benthic Only,30,r2,3,-7763.0167,-1.5390774,Y,59.7,NA
Benthic Only,30,r3,3,8771.62308,1.75075204,N,48.9,NA
Benthic Only,30,r4,3,23012.692,5.57244931,Y,NA,45.2
Benthic Only,30,r5,3,9379.87872,4.06473499,N,NA,NA
Sediment + Benthic,30,r1,3,43140.111,4.23099739,N,NA,74.2
Sediment + Benthic,30,r2,3,44958.1255,4.12839187,N,NA,NA
Sediment + Benthic,30,r3,3,24130.9902,2.83130743,Y,11.7,NA
Sediment + Benthic,30,r4,3,60914.0071,5.65865118,Y,NA,68.9
Sediment + Benthic,30,r5,3,32854.8341,4.03231522,N,11.6,NA
Sediment Only,30,r1,3,10186.8526,1.07937543,Y,NA,111.5
Sediment Only,30,r2,3,5717.24484,0.55961025,N,4.3,NA
Sediment Only,30,r3,3,8486.18028,0.87954005,N,NA,NA
Sediment Only,30,r4,3,3024.37896,0.25914569,Y,NA,97.6
Sediment Only,30,r5,3,6029.7186,0.448198,N,4.12,NA
Benthic Only,20,r1,7,97150.77,6.79913937,Y,50.1,NA
Benthic Only,20,r2,7,61442.3165,5.28691011,N,NA,NA
Benthic Only,20,r3,7,46744.1834,2.07820418,N,44.6,NA
Benthic Only,20,r4,7,6721.31328,0.41367084,N,NA,40.5
Benthic Only,20,r5,7,-24809.952,-1.4981429,Y,NA,32.7
Sediment + Benthic,20,r1,7,167753.283,4.39160445,N,NA,70.1
Sediment + Benthic,20,r2,7,10595.8493,0.28525529,Y,13.1,NA
Sediment + Benthic,20,r3,7,52562.8061,1.85520368,N,11.8,NA
Sediment + Benthic,20,r4,7,25292.4487,0.88156127,N,NA,69.9
Sediment + Benthic,20,r5,7,180792.37,5.15057131,Y,NA,NA
Sediment Only,20,r1,7,238085.265,4.94626068,Y,NA,103
Sediment Only,20,r2,7,15243.5414,0.32353326,Y,NA,NA
Sediment Only,20,r3,7,202351.22,4.15673787,N,4.44,NA
Sediment Only,20,r4,7,119437.669,2.37689782,N,NA,93.3
Sediment Only,20,r5,7,27440.9136,0.69981486,N,4.36,NA
Benthic Only,30,r1,7,105797.27,6.41494865,N,NA,38.7
Benthic Only,30,r2,7,88015.8655,5.26730436,Y,59.7,NA
Benthic Only,30,r3,7,156461.043,10.1318463,N,48.9,NA
Benthic Only,30,r4,7,162865.757,13.0496467,N,NA,45.2
Benthic Only,30,r5,7,670668.157,98.950601,Y,NA,NA
Sediment + Benthic,30,r1,7,331422.931,12.1228509,N,NA,74.2
Sediment + Benthic,30,r2,7,142282.179,5.30715876,N,NA,NA
Sediment + Benthic,30,r3,7,648627.876,25.5874425,Y,11.7,NA
Sediment + Benthic,30,r4,7,126041.044,4.79493641,Y,NA,68.9
Sediment + Benthic,30,r5,7,225162.95,8.93384003,N,11.6,NA
Sediment Only,30,r1,7,104072.497,2.98537322,N,NA,111.5
Sediment Only,30,r2,7,147138.475,4.03524621,N,4.3,NA
Sediment Only,30,r3,7,258505.134,6.14855596,Y,NA,NA
Sediment Only,30,r4,7,27158.7116,0.68430234,Y,NA,97.6
Sediment Only,30,r5,7,37939.0235,0.73439176,N,4.12,NA
Benthic Only,20,r1,10,949071.248,95.1397909,Y,50.1,NA
Benthic Only,20,r2,10,-12746.753,-1.690176,Y,NA,NA
Benthic Only,20,r3,10,873363.131,59.834754,N,44.6,NA
Benthic Only,20,r4,10,474082.105,34.2891335,N,NA,40.5
Benthic Only,20,r5,10,606699.119,45.7615319,N,NA,32.7
Sediment + Benthic,20,r1,10,-4408.71,-0.1846646,Y,NA,70.1
Sediment + Benthic,20,r2,10,614438.292,21.358173,N,13.1,NA
Sediment + Benthic,20,r3,10,1921597.57,92.1012085,Y,11.8,NA
Sediment + Benthic,20,r4,10,1007678.47,40.6461653,N,NA,69.9
Sediment + Benthic,20,r5,10,685790.239,27.9848051,N,NA,NA
Sediment Only,20,r1,10,1129335.43,36.9240077,N,NA,103
Sediment Only,20,r2,10,1579356.1,50.2810545,Y,NA,NA
Sediment Only,20,r3,10,536602.361,17.3476554,Y,4.44,NA
Sediment Only,20,r4,10,1362673.75,42.9371725,N,NA,93.3
Sediment Only,20,r5,10,810817.244,24.8773964,N,4.36,NA
Benthic Only,30,r1,10,1110470.75,129.660631,N,NA,38.7
Benthic Only,30,r2,10,2003743.89,196.135696,N,59.7,NA
Benthic Only,30,r3,10,1911349.56,207.663099,N,48.9,NA
Benthic Only,30,r4,10,946753.517,123.588385,Y,NA,45.2
Benthic Only,30,r5,10,1650168.8,449.184603,Y,NA,NA
Sediment + Benthic,30,r1,10,2162354,86.7198058,N,NA,74.2
Sediment + Benthic,30,r2,10,1181785.02,62.6075975,N,NA,NA
Sediment + Benthic,30,r3,10,969543.34,64.3122712,N,11.7,NA
Sediment + Benthic,30,r4,10,3331925.97,214.510812,Y,NA,68.9
Sediment + Benthic,30,r5,10,657216.373,38.784732,Y,11.6,NA
Sediment Only,30,r1,10,1515184.99,53.6528776,Y,NA,111.5
Sediment Only,30,r2,10,1644320.6,52.6808159,N,4.3,NA
Sediment Only,30,r3,10,304843.496,11.5654714,Y,NA,NA
Sediment Only,30,r4,10,900122.129,26.9393668,N,NA,97.6
Sediment Only,30,r5,10,383756.233,12.5228701,N,4.12,NA
