Treatment,Temperature,ReplicateID,SampleDay,dCH4ConcDiff,CH4Prod,Log_CH4Prod,PLog_CH4Prod,OM,CN
Sediment + Benthic,30,r3,3,24130.9902,2.83130743,1.04073859,1.34320611,11.7,NA
Sediment + Benthic,30,r4,3,60914.0071,5.65865118,1.73318556,1.89591694,NA,68.9
Sediment + Benthic,30,r5,3,32854.8341,4.03231522,1.39434071,1.61588016,11.6,NA
Sediment Only,30,r1,3,10186.8526,1.07937543,0.07638257,0.73206758,NA,111.5
Sediment Only,30,r2,3,5717.24484,0.55961025,-0.5805147,0.44443595,4.3,NA
Sediment Only,30,r3,3,8486.18028,0.87954005,-0.1283562,0.63102709,NA,NA
Sediment Only,30,r4,3,3024.37896,0.25914569,-1.3503649,0.23043346,NA,97.6
Sediment Only,30,r5,3,6029.7186,0.448198,-0.8025202,0.37032002,4.12,NA
Control,20,r1,7,24.5429856,-3.78E-05,NA,-3.78E-05,NA,NA
Control,20,r2,7,-9.6841398,1.66581E-05,-11.002614,1.6658E-05,NA,NA
Control,20,r3,7,8.0139816,-1.59E-05,NA,-1.59E-05,NA,NA
Control,20,r4,7,8.8992576,-1.52E-05,NA,-1.52E-05,NA,NA
Control,20,r5,7,1.8140142,-3.16E-06,NA,-3.16E-06,NA,NA
Benthic Only,20,r1,7,97150.77,6.79913937,1.91679604,2.05401339,50.1,NA
Benthic Only,20,r2,7,61442.3165,5.28691011,1.66523398,1.83846971,NA,NA
Benthic Only,20,r3,7,46744.1834,2.07820418,0.73150415,1.12434637,44.6,NA
Benthic Only,20,r4,7,6721.31328,0.41367084,-0.8826847,0.34618975,NA,40.5
Benthic Only,20,r5,7,-24809.952,-1.4981429,NA,NA,NA,32.7
Sediment + Benthic,20,r1,7,167753.283,4.39160445,1.47969464,1.68484301,NA,70.1
Sediment + Benthic,20,r2,7,10595.8493,0.28525529,-1.2543708,0.25095736,13.1,NA
Sediment + Benthic,20,r3,7,52562.8061,1.85520368,0.61799449,1.04914318,11.8,NA
Sediment + Benthic,20,r4,7,25292.4487,0.88156127,-0.1260608,0.63210189,NA,69.9
Sediment + Benthic,20,r5,7,180792.37,5.15057131,1.63910764,1.81654497,NA,NA
Sediment Only,20,r1,7,238085.265,4.94626068,1.59863187,1.78276256,NA,103
Sediment Only,20,r2,7,15243.5414,0.32353326,-1.1284534,0.28030487,NA,NA
Sediment Only,20,r3,7,202351.22,4.15673787,1.4247306,1.64030418,4.44,NA
Sediment Only,20,r4,7,119437.669,2.37689782,0.8657962,1.21695748,NA,93.3
Sediment Only,20,r5,7,27440.9136,0.69981486,-0.3569395,0.53051934,4.36,NA
Control,30,r1,7,48.3115326,-9.96E-05,NA,-9.96E-05,NA,NA
Control,30,r2,7,-13.652495,1.85331E-05,-10.895952,1.85329E-05,NA,NA
Control,30,r3,7,5.0540286,-7.79E-06,NA,-7.79E-06,NA,NA
Control,30,r4,7,-4.8649452,0.000010904,-11.426381,1.09039E-05,NA,NA
Control,30,r5,7,116.630362,-0.0001701,NA,-0.0001701,NA,NA
Benthic Only,30,r1,7,105797.27,6.41494865,1.85863099,2.00349805,NA,38.7
Benthic Only,30,r2,7,88015.8655,5.26730436,1.66151873,1.83534634,59.7,NA
Benthic Only,30,r3,7,156461.043,10.1318463,2.31568356,2.40981004,48.9,NA
Benthic Only,30,r4,7,162865.757,13.0496467,2.56876106,2.64259725,NA,45.2
Benthic Only,30,r5,7,670668.157,98.950601,4.59462075,4.60467607,NA,NA
Sediment + Benthic,30,r1,7,331422.931,12.1228509,2.49509217,2.57435505,NA,74.2
Sediment + Benthic,30,r2,7,142282.179,5.30715876,1.66905662,1.8416853,NA,NA
Sediment + Benthic,30,r3,7,648627.876,25.5874425,3.2421017,3.28043902,11.7,NA
Sediment + Benthic,30,r4,7,126041.044,4.79493641,1.56756045,1.7569845,NA,68.9
Sediment + Benthic,30,r5,7,225162.95,8.93384003,2.18984632,2.29594711,11.6,NA
Sediment Only,30,r1,7,104072.497,2.98537322,1.09372477,1.38263096,NA,111.5
Sediment Only,30,r2,7,147138.475,4.03524621,1.39506732,1.61646242,4.3,NA
Sediment Only,30,r3,7,258505.134,6.14855596,1.81621725,1.96691037,NA,NA
Sediment Only,30,r4,7,27158.7116,0.68430234,-0.3793554,0.52135144,NA,97.6
Sediment Only,30,r5,7,37939.0235,0.73439176,-0.3087127,0.55065678,4.12,NA
Control,20,r1,10,7.8221394,-1.86E-05,NA,-1.86E-05,NA,NA
Control,20,r2,10,43.3544994,-0.0001149,NA,-0.0001149,NA,NA
Control,20,r3,10,-6.0657126,0.000018893,-10.876719,1.88928E-05,NA,NA
Control,20,r4,10,0.753822,-1.92E-06,NA,-1.92E-06,NA,NA
Control,20,r5,10,6.7325874,-1.46E-05,NA,-1.46E-05,NA,NA
Benthic Only,20,r1,10,949071.248,95.1397909,4.55534729,4.56580329,50.1,NA
Benthic Only,20,r2,10,-12746.753,-1.690176,NA,NA,NA,NA
Benthic Only,20,r3,10,873363.131,59.834754,4.09158666,4.10816124,44.6,NA
Benthic Only,20,r4,10,474082.105,34.2891335,3.5348285,3.56357508,NA,40.5
Benthic Only,20,r5,10,606699.119,45.7615319,3.82344382,3.8450609,NA,32.7
Sediment + Benthic,20,r1,10,-4408.71,-0.1846646,NA,-0.2041557,NA,70.1
Sediment + Benthic,20,r2,10,614438.292,21.358173,3.06143448,3.10719194,13.1,NA
Sediment + Benthic,20,r3,10,1921597.57,92.1012085,4.52288806,4.53368716,11.8,NA
Sediment + Benthic,20,r4,10,1007678.47,40.6461653,3.7049045,3.7292093,NA,69.9
Sediment + Benthic,20,r5,10,685790.239,27.9848051,3.33166169,3.36677173,NA,NA
Sediment Only,20,r1,10,1129335.43,36.9240077,3.60886195,3.63558436,NA,103
Sediment Only,20,r2,10,1579356.1,50.2810545,3.91762836,3.93732138,NA,NA
Sediment Only,20,r3,10,536602.361,17.3476554,2.85345736,2.9095018,4.44,NA
Sediment Only,20,r4,10,1362673.75,42.9371725,3.75973794,3.78276072,NA,93.3
Sediment Only,20,r5,10,810817.244,24.8773964,3.21395962,3.25336986,4.36,NA
Control,30,r1,10,117.535877,-0.0003359,NA,-0.000336,NA,NA
Control,30,r2,10,53.1679218,-0.0001112,NA,-0.0001112,NA,NA
Control,30,r3,10,22.2505008,-5.43E-05,NA,-5.43E-05,NA,NA
Control,30,r4,10,103.343088,-0.0003667,NA,-0.0003668,NA,NA
Control,30,r5,10,-17.794936,3.99975E-05,-10.126694,3.99967E-05,NA,NA
Benthic Only,30,r1,10,1110470.75,129.660631,4.86492051,4.87260336,NA,38.7
Benthic Only,30,r2,10,2003743.89,196.135696,5.27880674,5.2838923,59.7,NA
Benthic Only,30,r3,10,1911349.56,207.663099,5.33591705,5.34072098,48.9,NA
Benthic Only,30,r4,10,946753.517,123.588385,4.81695656,4.82501538,NA,45.2
Benthic Only,30,r5,10,1650168.8,449.184603,6.10743394,6.10965773,NA,NA
Sediment + Benthic,30,r1,10,2162354,86.7198058,4.4626823,4.47414771,NA,74.2
Sediment + Benthic,30,r2,10,1181785.02,62.6075975,4.13688664,4.15273292,NA,NA
Sediment + Benthic,30,r3,10,969543.34,64.3122712,4.16375046,4.17917994,11.7,NA
Sediment + Benthic,30,r4,10,3331925.97,214.510812,5.36836014,5.37301108,NA,68.9
Sediment + Benthic,30,r5,10,657216.373,38.784732,3.65802666,3.68348322,11.6,NA
Sediment Only,30,r1,10,1515184.99,53.6528776,3.9825351,4.00100187,NA,111.5
Sediment Only,30,r2,10,1644320.6,52.6808159,3.96425136,3.98305569,4.3,NA
Sediment Only,30,r3,10,304843.496,11.5654714,2.44802405,2.53095268,NA,NA
Sediment Only,30,r4,10,900122.129,26.9393668,3.29358867,3.33003669,NA,97.6
Sediment Only,30,r5,10,383756.233,12.5228701,2.52755658,2.60438234,4.12,NA
