SampleDate,Zone,VegetatedOpen,DOC,TOC,TC,TIC,TN,NH4-N,NO2-N,PO4-P,NO3-N,SO4-S,F,Cl,Br,Al,As,B,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb ,Se,Si,Sr,Ti,Tl,V,Zn
08/09/2025,3,O,5.314,7.746,44.40,36.65,0.308,13.347,<LOD,3.737,0.026,13.628,0.127,0.366,<LOD,<LOD,0.006,0.005,0.047,<LOD,22.89,<LOD,0.001,0.001,<LOD,<LOD,1.479,0.003,31.30,0.001,<LOD,3.304,<LOD,0.004,0.002,12.66,0.005,<LOD,4.119,0.147,<LOD,<LOD,0.003,<LOD
08/09/2025,3,V,5.573,7.741,42.84,35.10,0.511,33.742,<LOD,9.597,0.032,13.648,0.134,0.392,<LOD,<LOD,<LOD,0.005,0.042,<LOD,20.97,<LOD,<LOD,0.001,0.001,0.003,1.500,0.002,31.43,<LOD,<LOD,3.334,<LOD,0.013,<LOD,12.68,0.008,<LOD,5.173,0.137,<LOD,<LOD,0.003,<LOD
08/18/2025,1,O,5.526,7.520,41.73,34.21,0.341,10.429,<LOD,3.864,0.018,13.397,0.123,0.380,<LOD,<LOD,0.004,0.005,0.031,<LOD,19.09,<LOD,0.001,0.001,<LOD,<LOD,1.426,0.004,31.74,<LOD,<LOD,3.272,<LOD,<LOD,0.002,12.68,0.008,<LOD,5.068,0.128,<LOD,<LOD,0.003,<LOD
08/18/2025,1,V,8.189,8.991,47.89,38.90,0.347,14.934,<LOD,3.994,0.014,13.145,0.109,0.399,<LOD,<LOD,0.004,0.005,0.055,<LOD,26.56,<LOD,0.001,<LOD,<LOD,0.001,1.492,0.003,30.58,<LOD,<LOD,3.257,<LOD,0.003,<LOD,12.11,0.006,<LOD,4.738,0.160,<LOD,<LOD,0.003,<LOD
08/18/2025,2,O,5.247,7.366,43.79,36.42,0.286,13.152,<LOD,3.986,0.017,11.576,0.126,0.375,<LOD,<LOD,0.004,0.004,0.044,<LOD,27.05,<LOD,<LOD,<LOD,0.001,<LOD,1.332,0.004,28.10,<LOD,<LOD,2.972,<LOD,<LOD,0.002,10.74,0.009,<LOD,4.896,0.169,<LOD,<LOD,0.003,<LOD
08/18/2025,2,V,5.508,7.441,40.64,33.20,0.304,14.004,<LOD,3.665,0.048,12.910,0.130,0.395,<LOD,0.002,0.005,0.005,0.030,<LOD,19.41,<LOD,<LOD,0.001,0.001,<LOD,1.435,0.002,30.30,<LOD,<LOD,3.290,<LOD,<LOD,0.001,11.97,0.007,<LOD,4.813,0.133,<LOD,<LOD,0.003,<LOD
08/18/2025,3,O,5.820,7.978,43.63,35.66,0.303,19.673,<LOD,3.924,0.025,12.741,0.094,0.427,<LOD,<LOD,0.003,0.005,0.034,<LOD,22.00,<LOD,<LOD,0.001,0.001,0.001,1.351,0.006,30.17,<LOD,<LOD,3.166,0.001,<LOD,0.002,11.88,0.006,<LOD,4.008,0.141,<LOD,<LOD,0.004,<LOD
08/18/2025,3,V,5.794,7.059,47.56,40.50,0.503,33.648,<LOD,13.256,0.016,13.249,0.139,0.394,<LOD,0.001,0.005,0.005,0.056,<LOD,27.13,<LOD,0.001,0.001,0.001,<LOD,1.442,0.004,31.47,0.001,<LOD,3.330,<LOD,0.018,0.003,12.54,0.010,<LOD,4.229,0.161,<LOD,<LOD,0.002,<LOD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limit of Detection:,,,,,,,,2.2,0.5,7,0.007,0.077,0.030,0.053,0.147,<0.001,0.002,0.004,<0.001,<0.001,0.057,<0.001,<0.001,0.001,<0.001,<0.001,0.088,0.001,0.002,<0.001,<0.001,0.083,<0.001,0.003,0.001,0.004,<0.001,0.004,0.011,<0.001,0.004,0.007,<0.001,<0.001
Limit of Quantification:,,,,,,,,5.0,2.5,18,0.021,0.230,0.091,0.158,0.440,0.001,0.005,0.011,0.001,0.001,0.123,0.001,0.001,0.004,0.001,0.001,0.265,0.002,0.005,0.001,0.001,0.250,0.001,0.005,0.002,0.010,0.001,0.005,0.032,0.001,0.005,0.018,0.001,0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*red is below limit of detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*blue is below limit of quantification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
